标题,价格,样式,楼层,朝向,面积,小区,地址
田林十四村，1室0厅，近地铁，好房好心情,3700元/月,1室 0厅,中区/6层,朝南,徐汇 田林,田林十四村,田林十四村
附近有地铁，享受好房，链家有钥匙，精致户型,5000元/月,2室 1厅,中区/11层,暂无数据,浦东 三林,永泰花苑,永泰路630弄
银都一村，采光好，温馨之家，多次带看,3400元/月,1室 1厅,高区/6层,暂无数据,闸北 彭浦,银都一村(闸北),银都一村
南北通，地铁沿线，真实在租，小户型,4500元/月,1室 1厅,低区/6层,朝南北,闵行 古美,平南三四村,"平南三村,平南四村"
世和园，一链倾城，2室1厅1卫，低楼层,5200元/月,2室 1厅,低区/17层,朝南北,杨浦 中原,世和园,世界路43弄
三门路510弄，附近有地铁，看房客户多，2室1厅,4600元/月,2室 1厅,低区/7层,朝南,杨浦 五角场,三门路510弄,三门路510弄
钥匙在链家，交通便利，好房好心情，多次带看,5300元/月,2室 2厅,高区/18层,朝南北,浦东 三林,三林新村永泰路468弄,永泰路468弄
一链倾城，人气房源，小户型，出行方便,5000元/月,1室 0厅,中区/7层,朝南,黄浦 五里桥,蒙西小区,"蒙自西路28弄,蒙自西路62弄,蒙自西路......"
有钥匙，近地铁，如您所见，1室1厅,6500元/月,1室 1厅,低区/18层,朝南,闸北 西藏北路,精文城上城,虬江路1488弄
青春驿站，闹中取静，如您所见，交通便利,3800元/月,1室 1厅,高区/13层,暂无数据,松江 九亭,青春驿站,九新公路33弄
芳华苑，闹中取静，钥匙在链家，最近看房多,3600元/月,1室 0厅,高区/6层,暂无数据,浦东 北蔡,芳华苑,"芳华路329弄,芳华路503弄"
淞南四村，光线充足，上门实勘，看房客户多,3700元/月,1室 1厅,中区/6层,朝南,宝山 淞南,淞南四村,淞南四村
好房待租，交通方便，1室0厅1卫，空气清新,5000元/月,1室 0厅,中区/7层,朝西南,黄浦 五里桥,蒙自新村,蒙自路490弄1-13号
田林十四村，真实在租，光线充足，受欢迎好房,6300元/月,2室 0厅,中区/18层,朝南,徐汇 田林,田林十四村,田林十四村
德州二村，低楼层，地铁沿线，受欢迎好房,3500元/月,1室 1厅,中区/5层,暂无数据,浦东 世博,德州二村,德州路255弄
钥匙在店，1室1厅1卫，真实在租，地铁沿线,4200元/月,1室 1厅,高区/25层,暂无数据,浦东 北蔡,大华锦绣华城（二街区）,"华绣路18弄,北艾路1500弄,北艾路1......"
舒适三室，链家有钥匙，真实在租，出行方便,14000元/月,3室 2厅,低区/20层,朝南,浦东 陆家嘴,江临天下,浦明路233弄
真实在租，高清照片，地铁沿线，低楼层,3200元/月,1室 0厅,低区/5层,暂无数据,虹口 曲阳,玉田新村,"玉田新村,"
多次带看，上门实拍，有爱有家，钥匙房,6800元/月,2室 2厅,低区/19层,朝南北,徐汇 徐家汇,华狮国际公寓,天钥桥路180弄38号
受欢迎好房，好房好心情，上门实拍，链家有钥匙,3400元/月,1室 0厅,中区/5层,朝南,杨浦 鞍山,鞍山一村,"本溪路141弄,锦西路30弄"
宜川五村，链家有钥匙，享受好房，人气房源,3500元/月,1室 0厅,中区/6层,朝南,普陀 甘泉宜川,宜川五村,"宜川五村,华阴路193号,华阴路195号......"
钥匙在链家，多次带看，交通便利，上下楼方便,3200元/月,1室 1厅,低区/6层,朝南,浦东 洋泾,阳光二村,"栖山路400弄,阳光二村"
视野很好，精致户型，链家房源，交通方便,4500元/月,2室 1厅,高区/6层,暂无数据,宝山 高境,吉浦路615弄,吉浦路615弄
伟业金锦苑二村，出行方便，温馨一室，好房好心情,4000元/月,1室 1厅,低区/6层,朝南,浦东 金桥,伟业金锦苑二村,莱阳路880弄
房型正气，看房客户多，生活很便利，钥匙在链家,4500元/月,2室 2厅,高区/6层,朝南北,宝山 高境,逸仙一村,逸仙路1321弄（逸仙路391弄）
延长小区，如您所见，链家有钥匙，1室0厅,3800元/月,1室 0厅,高区/6层,暂无数据,闸北 大宁,延长小区（闸北）,"老沪太路101弄,老沪太路115号,老沪......"
华狮国际公寓，多次带看，链家有钥匙，高区阳光房,8000元/月,1室 1厅,高区/19层,暂无数据,徐汇 徐家汇,华狮国际公寓,天钥桥路180弄38号
邮电新村，受欢迎好房，温馨一室，有爱有家,3300元/月,1室 0厅,中区/5层,暂无数据,虹口 曲阳,邮电新村,四平路621弄
仁恒滨江园，好房待租，看房有钥匙，出行方便,18500元/月,2室 2厅,低区/26层,朝西南,浦东 陆家嘴,仁恒滨江园,"浦明路99弄（一、二期）,浦城路99弄（......"
世纪之门，多次带看，空气清新，1室2厅1卫,7500元/月,1室 2厅,中区/22层,朝东南,普陀 长寿路,世纪之门,江宁路1415弄
华浜二村，上门实拍，视野开阔，多次带看,4200元/月,2室 1厅,高区/6层,暂无数据,宝山 淞南,华浜二村,逸仙路3400弄
上门实勘，南北户型，好房好心情，看房客户多,7200元/月,2室 2厅,高区/12层,朝南北,杨浦 中原,翔殷心秀,中原路10弄
好房待租，两室户，低区出入方便，链家有钥匙,4300元/月,2室 2厅,低区/6层,朝南,闵行 颛桥,莘闵花园,颛盛路35弄
通河一村，视野很好，好房好心情，近地铁,3800元/月,2室 1厅,高区/13层,暂无数据,宝山 张庙,通河一村,通河路100弄
受欢迎好房，简约二室，地铁沿线，有钥匙,4500元/月,2室 1厅,高区/6层,朝南,闵行 航华,景丽苑,航华二村183-211号
瑞雪大楼，出行方便，链家有钥匙，精致户型,7000元/月,2室 1厅,中区/18层,朝西南,黄浦 淮海中路,瑞雪大楼,陕西南路271弄45-49号
生活很便利，南北通透，好楼层，一链倾城,3500元/月,1室 1厅,中区/6层,朝南北,宝山 高境,高境一村,高境一村
红旗四街坊，附近有地铁，有钥匙，有爱有家,2500元/月,2室 1厅,中区/6层,暂无数据,闵行 老闵行,红旗四街坊,"景谷路176弄,景谷路192弄,景谷路2......"
放心好房，链家有钥匙，一室小户型，最近看房多,7300元/月,1室 1厅,低区/39层,朝南,虹口 临平路,瑞虹新城（一期）,临平路333号
万邦都市花园，高区景观房，好房好心情，生活很便利,6300元/月,1室 1厅,高区/11层,暂无数据,浦东 北蔡,万邦都市花园,龙阳路1880弄
涵合园，两室户，交通方便，多次带看,8200元/月,2室 2厅,中区/16层,暂无数据,浦东 杨东,涵合园（公寓）,东绣路1389弄
近地铁，人气房源，采光好，链家房源,4200元/月,1室 1厅,高区/6层,朝南,徐汇 田林,田林六村,田林六村
陆家嘴花园，精致户型，有钥匙方便看，出行方便,8900元/月,2室 2厅,低区/27层,暂无数据,浦东 源深,陆家嘴花园(一期),桃林路815弄
交通方便，高清实拍，1室1厅1卫，链家好房,6200元/月,1室 1厅,中区/24层,暂无数据,徐汇 徐家汇,乐山一村,番禺路801弄1-28号
看房客户多，有钥匙方便看，1室1厅1卫，一链倾城,3600元/月,1室 1厅,中区/6层,暂无数据,杨浦 五角场,铁路新村(杨浦),国定路277弄
兰花新村，多次带看，精致户型，地铁沿线,4300元/月,2室 1厅,中区/6层,暂无数据,杨浦 黄兴公园,兰花新村,翔殷路791弄
静安新城五区，好房好心情，钥匙房，近地铁,5000元/月,1室 1厅,中区/6层,暂无数据,闵行 静安新城,静安新城五区,漕宝路1467弄五区
空气清新，生活很便利，钥匙在店，好房好心情,13000元/月,3室 2厅,中区/28层,朝南,黄浦 豫园,东淮海公寓,人民路777弄
多次带看，高清实拍，出行方便，好房好心情,10000元/月,2室 2厅,高区/31层,朝南,黄浦 打浦桥,东晖花苑,打浦路398弄
好楼层，1室2厅1卫，钥匙房，人气房源,10500元/月,1室 2厅,中区/25层,暂无数据,浦东 源深,盛世年华,羽山路100弄
南丹小区，有钥匙，链家房源，交通方便,4800元/月,1室 1厅,中区/7层,暂无数据,徐汇 徐家汇,南丹小区,"宜山路60弄,"
引翔港小区，温馨一室，实地看房，链家好房,3600元/月,1室 0厅,高区/6层,朝东南,杨浦 周家嘴路,引翔港小区,"长阳路1969弄,长阳路2021弄"
看房客户多，生活很便利，链家房源，好楼层,4000元/月,2室 1厅,中区/7层,朝南北,宝山 通河,通河四村,长江西路52号
受欢迎好房，出行方便，链家房源，温馨之家,3200元/月,1室 1厅,高区/6层,暂无数据,闸北 彭浦,岭南路236弄,岭南路236弄
南北通透，链家有钥匙，最近看房多，真实在租,9000元/月,2室 2厅,高区/31层,朝南北,闸北 大宁,慧芝湖花园,"平型关路1083弄（一、二期）,平型关路......"
绿地海怡公寓，高区景观房，最近看房多，高清照片,7300元/月,1室 1厅,高区/30层,暂无数据,长宁 中山公园,绿地海怡公寓,"延安西路1155号,延安西路1181号"
生活很便利，有钥匙房源，一链倾城，温馨之家,3500元/月,1室 1厅,低区/15层,暂无数据,嘉定 南翔,永翔佳苑,"金润路478弄,金润路465弄"
乐山一村，地铁沿线，采光棒，钥匙在店,4500元/月,1室 0厅,高区/6层,暂无数据,徐汇 徐家汇,乐山一村,番禺路801弄1-28号
中福花苑，看房客户多，高区阳光房，1室2厅1卫,5900元/月,1室 2厅,高区/15层,朝北,黄浦 蓬莱公园,中福花苑,"海潮路3号,海潮路33号,海潮路93弄,......"
人气房源，视野很好，地铁沿线，温馨一室,3200元/月,1室 1厅,高区/6层,朝北,黄浦 五里桥,瞿溪路1003弄,瞿溪路1003弄
和平花苑，生活很便利，高区景观房，有钥匙房源,8500元/月,2室 2厅,高区/34层,朝南,杨浦 鞍山,和平花苑,"大连路1288弄,"
小户型，钥匙房，高区景观好，交通便利,2500元/月,1室 0厅,高区/5层,暂无数据,杨浦 鞍山,鞍山四村第三小区,"阜新路180弄,"
交通方便，光线充足，钥匙在店，2室1厅1卫,5000元/月,2室 1厅,中区/7层,暂无数据,普陀 武宁,江南新村（普陀）,曹杨路623弄
嘉利明珠城，实地看房，出行方便，空气清新,6800元/月,3室 1厅,中区/30层,暂无数据,闸北 闸北公园,嘉利明珠城,平型关路377弄
赤峰小区，一链倾城，交通方便，受欢迎好房,5500元/月,2室 1厅,低区/6层,暂无数据,虹口 曲阳,赤峰小区,"赤峰路370弄,曲阳路610弄,曲阳路6......"
延吉六村，好房好心情，交通方便，1室1厅,3500元/月,1室 1厅,高区/12层,朝南,杨浦 黄兴公园,延吉六村,延吉六村
明日新苑，交通便利，人气房源，链家好房,6300元/月,2室 2厅,中区/11层,暂无数据,嘉定 丰庄,明日新苑,丰庄路301弄
交通方便，一室小户型，一链倾城，最近看房多,3000元/月,1室 1厅,高区/6层,朝南,闸北 彭浦,平顺路980弄,平顺路980弄
梅陇三村，受欢迎好房，高区阳光房，上门实勘,3400元/月,1室 1厅,高区/6层,朝南北,徐汇 华东理工,梅陇三村,梅陇三村
田林新苑，视野开阔，链家好房，看房有钥匙,5300元/月,2室 1厅,高区/28层,朝南,徐汇 田林,田林新苑,田林东路414弄
东安四村，人气房源，生活很便利，一室小户型,4300元/月,1室 1厅,中区/6层,朝南,徐汇 徐家汇,东安四村,东安四村（宛平南路727弄）
保利西子湾，适合自住，附近有地铁，看房客户多,5000元/月,2室 2厅,中区/11层,暂无数据,松江 松江大学城,保利西子湾,广富林路1188弄
潍坊五村，温馨之家，一链倾城，采光好,3600元/月,1室 0厅,高区/6层,暂无数据,浦东 潍坊,潍坊五村,浦电路218弄
有钥匙，生活很便利，实地看房，好楼层,4300元/月,1室 0厅,中区/18层,暂无数据,宝山 高境,美岸栖庭（公寓）,"何家湾路111弄,国权北路828弄,高逸......"
骏豪国际，一链倾城，小户型，交通便利,9000元/月,1室 1厅,高区/29层,暂无数据,静安 南京西路,骏豪国际,陕西北路288号
地铁沿线，两室户，实地看房，钥匙在店,8000元/月,2室 2厅,高区/34层,朝南,闸北 大宁,明园森林都市,"广延路1188弄（三期）,"
受欢迎好房，链家房源，链家有钥匙，温馨一室,9000元/月,1室 2厅,低区/26层,暂无数据,浦东 联洋,联洋年华,丁香路910弄
交通方便，上下楼方便，看房客户多，好房好心情,10000元/月,3室 2厅,低区/16层,朝南,浦东 张江,张江汤臣豪园二期,晨晖路825弄
徐家汇花园，交通方便，有钥匙方便看，高清照片,14000元/月,3室 2厅,低区/10层,暂无数据,徐汇 徐家汇,徐家汇花园,宛平南路255弄
广中扩大小区，上门实拍，如您所见，1室1厅1卫,3800元/月,1室 1厅,高区/6层,暂无数据,虹口 凉城,广中扩大小区,"凉城路480弄,汶水东路690弄,凉城路......"
三门路358弄，钥匙在店，链家房源，高清大图,3700元/月,1室 1厅,中区/7层,暂无数据,杨浦 五角场,三门路358弄,三门路358弄
万源城逸郡，交通方便，有爱有家，3室2厅2卫,15000元/月,3室 2厅,低区/12层,朝南,闵行 古美,万源城逸郡,万源路788弄
好房待租，2室2厅，高区阳光房，最近看房多,11500元/月,2室 2厅,高区/28层,暂无数据,黄浦 五里桥,汇龙新城,徐家汇路515弄
静安新城十一区，交通方便，适合自住，有钥匙,6500元/月,2室 1厅,低区/6层,朝南,闵行 静安新城,静安新城十一区,漕宝路1467弄十一区
好房好心情，南北通透，有钥匙房源，小户型,3800元/月,1室 0厅,低区/6层,朝南北,徐汇 龙华,宛南六村,"宛南六村,"
花苑村桂花园，看房客户多，1室1厅1卫，一链倾城,3200元/月,1室 1厅,中区/6层,暂无数据,徐汇 康健,花苑村桂花园,江安路58弄
潍坊九村，上门实拍，看房方便，低楼层,4500元/月,1室 0厅,低区/6层,朝南,浦东 潍坊,潍坊九村,"崂山路644弄,崂山路638弄,浦电路3......"
出行方便，有钥匙，高清实拍，高区景观房,4500元/月,1室 1厅,高区/7层,朝西,黄浦 世博滨江,瞿四小区,"中山南一路247弄,"
低区出入方便，看房有钥匙，一链倾城，适合自住,6500元/月,2室 0厅,低区/7层,暂无数据,黄浦 打浦桥,思南路115弄,思南路115弄
南杨小区，生活很便利，一室小户型，看房方便,4100元/月,1室 1厅,高区/6层,朝南北,浦东 三林,南杨小区(长清路),"长清路643弄,"
蒲汇新村，1室1厅1卫，享受好房，低区出入方便,4500元/月,1室 1厅,低区/6层,暂无数据,闵行 七宝,蒲汇新村,青年路88弄
1室1厅，看房有钥匙，空气清新，有爱有家,5000元/月,1室 1厅,中区/21层,朝南,普陀 长寿路,德怡苑,"常德路1375弄,常德路1391号,常德......"
交通方便，光线棒，有钥匙方便看，好房待租,6500元/月,1室 1厅,高区/15层,朝东,黄浦 蓬莱公园,中福花苑,"海潮路3号,海潮路33号,海潮路93弄,......"
邮电新村，1室1厅1卫，受欢迎好房，空气清新,3800元/月,1室 1厅,中区/5层,暂无数据,虹口 曲阳,邮电新村,四平路621弄
近地铁，好房待租，看房方便，人气房源,4200元/月,1室 0厅,中区/7层,朝北,杨浦 东外滩,眉州路515弄,眉州路515弄
控江西三村，上下楼方便，精致户型，附近有地铁,4300元/月,2室 1厅,低区/6层,朝南北,杨浦 黄兴公园,控江西三村,控江三村88-147号
近地铁，好房待租，钥匙在店，高区景观房,7500元/月,2室 1厅,高区/22层,暂无数据,静安 曹家渡,君悦静安,康定路1033号
看房客户多，上门实勘，1室0厅，附近有地铁,4300元/月,1室 0厅,中区/6层,朝南,浦东 洋泾,巨东小区,"苗圃路463弄,巨野路469弄,羽山路8......"
最近看房多，高清照片，链家房源，两室户,5300元/月,2室 0厅,低区/16层,朝东南,浦东 世博,雪野二村,"浦东南路4950弄1-6号,"
梧桐城邦，人气房源，真实在租，2室2厅,5500元/月,2室 2厅,中区/6层,朝南,宝山 大华,梧桐城邦（一期）,真华路1800弄
看房客户多，好房好心情，有钥匙方便看，上门实拍,4000元/月,2室 2厅,低区/14层,暂无数据,松江 泗泾,新凯家园,"新家园路128弄,"
钥匙在链家，好房好心情，最近看房多，近地铁,7000元/月,2室 1厅,低区/32层,暂无数据,浦东 南码头,光鸿苑,"临沂路8弄,东三里桥路245弄"
钥匙在链家，上门实拍，交通便利，小户型,3000元/月,1室 1厅,低区/21层,暂无数据,普陀 桃浦,安居锦竹苑,竹柳路50弄
地铁沿线，两室户，看房方便，好房待租,3800元/月,2室 1厅,中区/11层,朝南北,宝山 顾村,采菊苑,菊联路68弄
金坤花园，温馨之家，放心好房，最近看房多,3600元/月,1室 0厅,中区/6层,朝西南,闵行 金汇,金坤花园,金汇路515弄
链家好房，地铁沿线，多次带看，钥匙房,5300元/月,2室 1厅,低区/6层,暂无数据,浦东 三林,杉林新月环林东路879弄,环林东路879弄
人气房源，适合自住，生活很便利，看房有钥匙,11000元/月,2室 2厅,低区/31层,朝南,黄浦 蓬莱公园,黄浦新苑（公寓）,"丽园路333弄（一、二期）,西藏南路11......"
钥匙在店，交通便利，高清大图，3室2厅2卫,14000元/月,3室 2厅,低区/37层,暂无数据,徐汇 建国西路,新家坡美树馆,陕西南路888弄
温馨一室，多次带看，上门实勘，采光好,2300元/月,1室 1厅,高区/5层,朝南北,闵行 老闵行,凤庆小区,"碧江路501弄,"
多次带看，视野很好，真实在租，链家有钥匙,12800元/月,2室 2厅,高区/18层,朝南,浦东 杨东,陆家嘴中央公寓,东绣路99弄
恒升半岛，采光好，温馨之家，链家好房,4100元/月,1室 1厅,高区/26层,朝南北,虹口 北外滩,恒升半岛,武昌路258号
生活很便利，最近看房多，看房方便，高清实拍,14500元/月,2室 2厅,低区/34层,朝南,徐汇 徐家汇,永新花苑,"辛耕路100弄,肇嘉浜路1029弄18号"
有钥匙方便看，实地看房，光线充足，出行方便,4000元/月,2室 0厅,中区/6层,朝南,闸北 永和,永和二村,"原平路689弄,原平路777弄,高平路7......"
慧芝湖花园，看房客户多，出行方便，放心好房,10000元/月,2室 2厅,低区/36层,朝南,闸北 大宁,慧芝湖花园,"平型关路1083弄（一、二期）,平型关路......"
番南小区，人气房源，有钥匙，上门实勘,4900元/月,1室 1厅,中区/7层,暂无数据,徐汇 徐家汇,番南小区,"番禺路1160弄,番禺路1161弄,番禺......"
龙湖郦城，受欢迎好房，链家好房，空气清新,4800元/月,2室 2厅,中区/27层,暂无数据,嘉定 嘉定新城,龙湖郦城,"云屏路88弄,双单路1509弄,云屏路1......"
看房方便，生活很便利，人气房源，享受好房,3800元/月,2室 2厅,低区/8层,暂无数据,宝山 顾村,古北菊翔苑（菊联路232弄）,菊联路232弄
视野很好，有钥匙房源，实地看房，出行方便,5000元/月,1室 1厅,高区/6层,朝南,长宁 新华路,法华镇路878弄,法华镇路878弄
联洋年华，好房待租，出行方便，看房客户多,8500元/月,1室 2厅,低区/21层,朝南,浦东 联洋,联洋年华,丁香路910弄
民星二村，上下楼方便，2室1厅，多次带看,4500元/月,2室 1厅,低区/6层,朝南,杨浦 中原,民星二村,"民星路400弄,民星路420号,民星二村"
金地湾流域，链家有钥匙，链家房源，上门实勘,6500元/月,2室 2厅,中区/14层,暂无数据,浦东 三林,金地湾流域(公寓),"尚博路366弄,尚博路518弄,尚博路5......"
2室0厅1卫，链家房源，看房客户多，看房有钥匙,3600元/月,2室 0厅,中区/6层,朝北,浦东 世博,上钢四村,上钢四村
人气房源，链家房源，高区景观房，高清实拍,7000元/月,1室 1厅,高区/18层,暂无数据,徐汇 徐家汇,科汇公寓,天钥桥路69弄1-3号
高区景观好，出行方便，精致户型，受欢迎好房,8000元/月,2室 2厅,高区/32层,朝南,普陀 中远两湾城,中远两湾城,"远景路97弄、中潭路100弄（四期）,"
高区景观房，附近有地铁，钥匙在链家，小户型,9000元/月,1室 2厅,高区/9层,朝南,长宁 古北,古北嘉年华庭,"黄金城道258弄（北区）,黄金城道259......"
长隆住宅小区，看房客户多，温馨一室，空气清新,3500元/月,1室 1厅,中区/7层,朝南北,杨浦 周家嘴路,长隆住宅小区,"长阳路2087弄,长阳路2121弄"
海尚乐苑，交通便利，看房有钥匙，温馨一室,2800元/月,1室 1厅,高区/14层,暂无数据,浦东 康桥,海尚乐苑,周邓公路6600弄
房型正气，受欢迎好房，光线充足，钥匙在链家,4500元/月,2室 1厅,中区/7层,朝南北,徐汇 上海南站,华东花苑,"罗城路651弄,罗城路799弄,龙川北路......"
鞍山四村第二小区，有钥匙方便看，高清实拍，地铁沿线,3800元/月,1室 0厅,中区/6层,朝南北,杨浦 鞍山,鞍山四村第二小区,"阜新路182弄,"
马当小区，钥匙在链家，交通方便，最近看房多,7000元/月,1室 0厅,中区/27层,朝东,黄浦 新天地,马当小区,马当路357弄
生活很便利，钥匙在链家，1室1厅1卫，享受好房,3500元/月,1室 1厅,中区/6层,暂无数据,闸北 彭浦,平顺小区,"临汾路670弄1-25号,"
静安阳光名都，小户型，附近有地铁，实地看房,6700元/月,1室 1厅,中区/4层,暂无数据,静安 曹家渡,静安阳光名都,安远路777弄
中山西路644号，1室1厅1卫，真实在租，看房客户多,3700元/月,1室 1厅,高区/7层,朝南,长宁 中山公园,中山西路644号,中山西路644号
联洋年华，钥匙在链家，一室小户型，地铁沿线,9100元/月,1室 2厅,中区/26层,暂无数据,浦东 联洋,联洋年华,丁香路910弄
房型正气，放心好房，链家有钥匙，2室1厅1卫,3300元/月,2室 1厅,高区/6层,朝南北,宝山 张庙,通河一村,通河路100弄
近地铁，2室2厅，看房有钥匙，放心好房,9000元/月,2室 2厅,高区/16层,朝南北,浦东 洋泾,新城名园,苗圃路438弄
永泰花苑，精致户型，好房好心情，好楼层,4300元/月,2室 1厅,中区/11层,朝南,浦东 三林,永泰花苑,永泰路630弄
东苑绿世界花园，看房方便，链家好房，实地看房,6500元/月,2室 2厅,高区/7层,暂无数据,闵行 古美,东苑绿世界花园（一期）,沪闵路6918弄
毕加索小镇，上下楼方便，好房好心情，有钥匙方便看,4300元/月,2室 1厅,低区/8层,朝南,浦东 唐镇,毕加索小镇（一期）（公寓）,春泉路45弄
虹桥万博花园，出行方便，放心好房，多次带看,10000元/月,2室 2厅,低区/28层,朝南,长宁 中山公园,虹桥万博花园,古北路69弄
